country,first_subdivision,latitude,longitude,project_category,project_type,vintage_year,nft_age,num_owners,avg_price,last_price,num_price_chg,nft_state
GTM,N/A,15.5855545,-90.345759,COMM_ENRGY_EFF,WATER,0,15,1,26.857694832020123,26.285329147989554,0,N/A
HND,N/A,15.2572432,-86.0755145,RENEW_ENERGY,HYDRO,0,12,3,24.333513646872586,22.172784960951088,0,N/A
IDN,N/A,-2.4833826,117.8902853,RENEW_ENERGY,SOLAR,0,15,3,21.709314600715626,17.199992766998346,2,N/A
GIN,N/A,10.7226226,-10.7083587,WASTE_MGMT,EMM_RED,0,11,2,22.560452796317982,23.795001837317933,1,N/A
RWA,N/A,-1.9646631,30.0644358,COMM_ENRGY_EFF,WATER,0,11,1,44.459523035676675,46.455134001945346,1,N/A
KEN,N/A,1.4419683,38.4313975,COMM_ENRGY_EFF,WATER,0,16,2,24.489863039303017,22.72148991336902,2,N/A
KEN,N/A,1.4419683,38.4313975,COMM_ENRGY_EFF,COOK_STV,0,18,1,25.614869820755754,27.509929222472053,2,N/A
KEN,N/A,1.4419683,38.4313975,COMM_ENRGY_EFF,BIOGAS,0,8,1,21.51138482164252,23.338492393288668,0,N/A
RWA,N/A,-1.9646631,30.0644358,COMM_ENRGY_EFF,BIOGAS,0,16,1,48.176113151368575,50.60248224635277,0,N/A
MMR,N/A,17.1750495,95.9999652,RENEW_ENERGY,WIND,0,12,3,29.109992792266873,33.300614531338084,2,N/A
IND,N/A,22.3511148,78.6677428,WASTE_MGMT,EMM_RED,0,20,1,18.723867038430114,18.243117880534026,0,N/A
NIC,N/A,12.6090157,-85.2936911,WASTE_MGMT,EMM_RED,0,15,1,17.180456606188056,14.928865900258032,2,N/A
KHM,N/A,12.5433216,104.8144914,FOREST_CONSERV,AGG_LAND_MGMT,0,18,1,28.365375295916742,29.0927261682044,2,N/A
ETH,N/A,10.2116702,38.6521203,RENEW_ENERGY,SOLAR,0,13,3,21.351197290820963,22.994043471790988,1,N/A
KHM,N/A,12.5433216,104.8144914,RENEW_ENERGY,WIND,0,14,3,28.377161806190347,30.207276596885848,3,N/A
ETH,N/A,10.2116702,38.6521203,COMM_ENRGY_EFF,BIOGAS,0,11,3,33.07857937512278,28.99000845457615,3,N/A
FRA,N/A,46.603354,1.8883335,FOREST_CONSERV,AGG_LAND_MGMT,0,15,4,33.42580167564501,35.45559807610662,1,N/A
IDN,N/A,-2.4833826,117.8902853,COMM_ENRGY_EFF,BIOGAS,0,15,2,20.550819774873467,19.131340849975793,0,N/A
GIN,N/A,10.7226226,-10.7083587,COMM_ENRGY_EFF,WATER,0,12,4,33.109675708278154,31.099761267738664,1,N/A
KEN,N/A,1.4419683,38.4313975,WASTE_MGMT,EMM_RED,0,22,5,19.51698583000331,21.40796541861649,1,N/A
KEN,N/A,1.4419683,38.4313975,RENEW_ENERGY,SOLAR,0,14,2,27.397068858548746,25.628107610477723,0,N/A
MOZ,N/A,-19.302233,34.9144977,RENEW_ENERGY,HYDRO,0,13,2,26.39840447928658,28.977681274397888,0,N/A
PER,N/A,-6.8699697,-75.0458515,RENEW_ENERGY,WIND,0,18,2,28.19860370286212,30.841962005353608,1,N/A
KEN,N/A,1.4419683,38.4313975,COMM_ENRGY_EFF,WATER,0,12,2,23.15488897401429,26.067704053028923,1,N/A
KEN,N/A,1.4419683,38.4313975,FOREST_CONSERV,AGG_LAND_MGMT,0,22,1,32.255895407926346,34.09165085754533,2,N/A
KHM,N/A,12.5433216,104.8144914,FOREST_CONSERV,AGG_LAND_MGMT,0,13,1,32.363499121302766,30.475483553448573,3,N/A
USA,N/A,39.7837304,-100.445882,COMM_ENRGY_EFF,WATER,0,16,2,50.015788977185125,52.58548061965773,0,N/A
BGR,N/A,42.6073975,25.4856617,FOREST_CONSERV,AGG_LAND_MGMT,0,18,2,32.374084389196156,31.01204699812781,0,N/A
GTM,N/A,15.5855545,-90.345759,COMM_ENRGY_EFF,COOK_STV,0,9,2,25.754129475465895,26.976011015053533,1,N/A
PER,N/A,-6.8699697,-75.0458515,RENEW_ENERGY,SOLAR,0,11,2,27.672303858487933,31.34959716344548,0,N/A
IND,N/A,22.3511148,78.6677428,COMM_ENRGY_EFF,BIOGAS,0,12,3,27.380481920914345,28.58259739172356,1,N/A
IDN,N/A,-2.4833826,117.8902853,COMM_ENRGY_EFF,COOK_STV,0,10,1,22.878972175476676,24.938866888184467,0,N/A
USA,N/A,39.7837304,-100.445882,COMM_ENRGY_EFF,WATER,0,13,1,45.476178838983834,41.15951615913512,1,N/A
PER,N/A,-6.8699697,-75.0458515,RENEW_ENERGY,HYDRO,0,15,3,26.17505573142967,28.615794919446998,2,N/A
RWA,N/A,-1.9646631,30.0644358,RENEW_ENERGY,HYDRO,0,18,2,25.004406699273098,25.976802765670016,3,N/A
BGR,N/A,42.6073975,25.4856617,RENEW_ENERGY,SOLAR,0,14,2,28.27150541857702,28.781662862503612,2,N/A
KEN,N/A,1.4419683,38.4313975,RENEW_ENERGY,SOLAR,0,21,1,23.107018858333806,21.351727309921994,0,N/A
IND,N/A,22.3511148,78.6677428,FOREST_CONSERV,AGG_LAND_MGMT,0,18,2,27.741099522421806,26.989955588908416,2,N/A
GBR,N/A,54.7023545,-3.2765753,COMM_ENRGY_EFF,BIOGAS,0,14,2,39.271505207210936,39.0806318430961,1,N/A
HND,N/A,15.2572432,-86.0755145,RENEW_ENERGY,HYDRO,0,5,2,25.417800072096938,27.44065055506293,0,N/A
IDN,N/A,-2.4833826,117.8902853,RENEW_ENERGY,HYDRO,0,12,1,31.362700268369103,30.104794561859176,0,N/A
RWA,N/A,-1.9646631,30.0644358,FOREST_CONSERV,AGG_LAND_MGMT,0,18,1,34.17756249168443,32.13699124816306,2,N/A
HND,N/A,15.2572432,-86.0755145,WASTE_MGMT,EMM_RED,0,18,2,20.336719634285114,20.981621531460117,0,N/A
